# Logfile created on 2026-03-29 22:05:13 +0200 by logger.rb/v1.5.3
2026-03-29 22:05:13 +0200: Memory Usage (436660K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/top/IHP_3421.gds
2026-03-29 22:05:13 +0200: Memory Usage (436660K) : Ruby Version for klayout: 3.2.3
2026-03-29 22:05:13 +0200: Memory Usage (461364K) : Loading database to memory is complete.
2026-03-29 22:05:13 +0200: Memory Usage (461364K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/top/drc_run_2026_03_29_20_04_57/IHP_3421_SoC3421_metalslits.lyrdb
2026-03-29 22:05:13 +0200: Memory Usage (461492K) : Evaluate switches.
2026-03-29 22:05:13 +0200: Memory Usage (461492K) : tables selected: metalslits
2026-03-29 22:05:13 +0200: Memory Usage (461492K) : KLayout will use 32 thread(s) in tiling mode.
2026-03-29 22:05:13 +0200: Memory Usage (461492K) : deep mode is enabled.
2026-03-29 22:05:13 +0200: Memory Usage (461492K) : FEOL enabled: false
2026-03-29 22:05:13 +0200: Memory Usage (461492K) : BEOL enabled: false
2026-03-29 22:05:13 +0200: Memory Usage (461492K) : OFFGRID enabled: false
2026-03-29 22:05:13 +0200: Memory Usage (461492K) : PIN enabled: false
2026-03-29 22:05:13 +0200: Memory Usage (461492K) : FORBIDDEN enabled: false
2026-03-29 22:05:13 +0200: Memory Usage (461492K) : RECOMMENDED enabled: false
2026-03-29 22:05:13 +0200: Memory Usage (461492K) : PreCheck DRC enabled: true
2026-03-29 22:05:13 +0200: Memory Usage (461492K) : CONNECTIVITY_RULES enabled: false.
2026-03-29 22:05:13 +0200: Memory Usage (461492K) : Read in polygons from layers.
2026-03-29 22:05:13 +0200: Memory Usage (464180K) : activ_drw has 25251 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464180K) : activ_pin has 0 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464180K) : activ_mask has 0 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464180K) : activ_filler has 22189 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464308K) : activ_nofill has 0 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464308K) : activ_opc has 0 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464436K) : activ_iopc has 0 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464436K) : activ_noqrc has 0 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464564K) : biwind_drw has 0 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464564K) : biwind_opc has 0 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464692K) : pemwind_drw has 0 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464820K) : gatpoly_drw has 23080 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464820K) : gatpoly_pin has 98 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464820K) : gatpoly_filler has 22189 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464948K) : gatpoly_nofill has 0 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464948K) : gatpoly_opc has 0 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464948K) : gatpoly_iopc has 0 polygons
2026-03-29 22:05:13 +0200: Memory Usage (464948K) : gatpoly_noqrc has 0 polygons
2026-03-29 22:05:14 +0200: Memory Usage (476212K) : cont_drw has 2239726 polygons
2026-03-29 22:05:14 +0200: Memory Usage (476212K) : cont_opc has 0 polygons
2026-03-29 22:05:14 +0200: Memory Usage (476212K) : nsd_drw has 84 polygons
2026-03-29 22:05:14 +0200: Memory Usage (476212K) : nsd_block has 0 polygons
2026-03-29 22:05:14 +0200: Memory Usage (476340K) : metal1_drw has 44630 polygons
2026-03-29 22:05:14 +0200: Memory Usage (476340K) : metal1_pin has 17607 polygons
2026-03-29 22:05:14 +0200: Memory Usage (476340K) : metal1_mask has 0 polygons
2026-03-29 22:05:14 +0200: Memory Usage (476340K) : metal1_filler has 27328 polygons
2026-03-29 22:05:14 +0200: Memory Usage (476340K) : metal1_nofill has 0 polygons
