# Logfile created on 2026-03-28 23:20:04 +0100 by logger.rb/v1.5.3
2026-03-28 23:20:04 +0100: Memory Usage (437440K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/top/final_gds.gds
2026-03-28 23:20:04 +0100: Memory Usage (437440K) : Ruby Version for klayout: 3.2.3
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : Loading database to memory is complete.
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/top/drc_run_2026_03_28_22_19_58/final_gds_top_psd.lyrdb
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : Evaluate switches.
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : tables selected: psd
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : KLayout will use 32 thread(s) in tiling mode.
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : deep mode is enabled.
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : FEOL enabled: false
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : BEOL enabled: false
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : OFFGRID enabled: false
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : PIN enabled: false
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : FORBIDDEN enabled: false
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : RECOMMENDED enabled: false
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : PreCheck DRC enabled: true
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : CONNECTIVITY_RULES enabled: false.
2026-03-28 23:20:04 +0100: Memory Usage (462016K) : Read in polygons from layers.
2026-03-28 23:20:04 +0100: Memory Usage (464064K) : activ_drw has 25251 polygons
2026-03-28 23:20:04 +0100: Memory Usage (464064K) : activ_pin has 0 polygons
2026-03-28 23:20:04 +0100: Memory Usage (464064K) : activ_mask has 0 polygons
2026-03-28 23:20:05 +0100: Memory Usage (464064K) : activ_filler has 22189 polygons
2026-03-28 23:20:05 +0100: Memory Usage (464064K) : activ_nofill has 0 polygons
2026-03-28 23:20:05 +0100: Memory Usage (464064K) : activ_opc has 0 polygons
2026-03-28 23:20:05 +0100: Memory Usage (464064K) : activ_iopc has 0 polygons
2026-03-28 23:20:05 +0100: Memory Usage (464064K) : activ_noqrc has 0 polygons
2026-03-28 23:20:05 +0100: Memory Usage (464064K) : biwind_drw has 0 polygons
2026-03-28 23:20:05 +0100: Memory Usage (464064K) : biwind_opc has 0 polygons
2026-03-28 23:20:05 +0100: Memory Usage (464064K) : pemwind_drw has 0 polygons
2026-03-28 23:20:05 +0100: Memory Usage (464192K) : gatpoly_drw has 23080 polygons
2026-03-28 23:20:05 +0100: Memory Usage (464192K) : gatpoly_pin has 98 polygons
